,precision,recall,f1-score,support
Cardiovascular / Pulmonary,0.425531914893617,0.5405405405405406,0.47619047619047616,74.0
ENT / Otolaryngology,0.4482758620689655,0.6842105263157895,0.5416666666666666,19.0
Gastroenterology,0.47619047619047616,0.6666666666666666,0.5555555555555556,45.0
General Medicine,0.6530612244897959,0.6274509803921569,0.64,51.0
Hematology / Oncology,0.25,0.3888888888888889,0.30434782608695654,18.0
Nephrology,0.34782608695652173,0.5,0.41025641025641024,16.0
Neurology,0.3111111111111111,0.3111111111111111,0.3111111111111111,45.0
Neurosurgery,0.10526315789473684,0.21052631578947367,0.14035087719298245,19.0
Obstetrics and Gynecology,0.32142857142857145,0.5806451612903226,0.41379310344827586,31.0
Ophthalmology,0.45454545454545453,0.5882352941176471,0.5128205128205128,17.0
Orthopedics,0.4,0.4788732394366197,0.4358974358974359,71.0
Pain Management,0.5,0.5,0.5,12.0
Psychiatry / Psychology,0.47058823529411764,0.7272727272727273,0.5714285714285714,11.0
Radiology,0.12,0.1111111111111111,0.11538461538461539,54.0
Surgery,0.24358974358974358,0.08755760368663594,0.1288135593220339,217.0
Urology,0.47619047619047616,0.6451612903225806,0.547945205479452,31.0
accuracy,0.3679890560875513,0.3679890560875513,0.3679890560875513,0.3679890560875513
macro avg,0.3752251446658492,0.478015716058892,0.412847620427566,731.0
weighted avg,0.34497321819557625,0.3679890560875513,0.33902650087262304,731.0
