,precision,recall,f1-score,support
Cardiovascular / Pulmonary,0.42045454545454547,0.5,0.4567901234567901,74.0
ENT / Otolaryngology,0.43333333333333335,0.6842105263157895,0.5306122448979592,19.0
Gastroenterology,0.4107142857142857,0.5111111111111111,0.45544554455445546,45.0
General Medicine,0.5588235294117647,0.7450980392156863,0.6386554621848739,51.0
Hematology / Oncology,0.30434782608695654,0.3888888888888889,0.34146341463414637,18.0
Nephrology,0.3333333333333333,0.4375,0.3783783783783784,16.0
Neurology,0.30612244897959184,0.3333333333333333,0.3191489361702128,45.0
Neurosurgery,0.08333333333333333,0.15789473684210525,0.10909090909090909,19.0
Obstetrics and Gynecology,0.3076923076923077,0.5161290322580645,0.3855421686746988,31.0
Ophthalmology,0.5263157894736842,0.5882352941176471,0.5555555555555556,17.0
Orthopedics,0.4117647058823529,0.49295774647887325,0.44871794871794873,71.0
Pain Management,0.5833333333333334,0.5833333333333334,0.5833333333333334,12.0
Psychiatry / Psychology,0.6,0.5454545454545454,0.5714285714285714,11.0
Radiology,0.10909090909090909,0.1111111111111111,0.11009174311926606,54.0
Surgery,0.25274725274725274,0.10599078341013825,0.14935064935064934,217.0
Urology,0.4444444444444444,0.5161290322580645,0.47761194029850745,31.0
accuracy,0.35841313269493846,0.35841313269493846,0.35841313269493846,0.35841313269493846
macro avg,0.38036571114446427,0.4510860946330433,0.40695105774039103,731.0
weighted avg,0.3397202668760985,0.35841313269493846,0.33554905648143923,731.0
