,Cardiovascular / Pulmonary,ENT / Otolaryngology,Gastroenterology,General Medicine,Hematology / Oncology,Nephrology,Neurology,Neurosurgery,Obstetrics and Gynecology,Ophthalmology,Orthopedics,Pain Management,Psychiatry / Psychology,Radiology,Surgery,Urology
Cardiovascular / Pulmonary,37,1,0,3,0,0,0,0,0,0,0,0,0,14,19,0
ENT / Otolaryngology,2,13,0,2,0,0,0,0,0,0,0,0,0,0,2,0
Gastroenterology,0,0,23,5,1,3,0,0,2,0,0,0,0,2,9,0
General Medicine,3,2,0,38,3,0,3,0,0,0,1,0,0,0,0,1
Hematology / Oncology,0,1,1,2,7,0,0,0,3,0,0,0,0,1,2,1
Nephrology,1,0,1,3,1,7,0,0,0,0,0,0,0,1,1,1
Neurology,1,0,0,3,0,0,15,2,0,1,4,0,4,15,0,0
Neurosurgery,0,0,0,0,0,0,7,3,0,0,5,0,0,0,4,0
Obstetrics and Gynecology,1,0,0,3,1,0,0,0,16,0,0,0,0,7,2,1
Ophthalmology,0,0,0,0,0,0,2,0,0,10,0,0,0,1,4,0
Orthopedics,0,0,0,3,0,0,3,10,0,0,35,0,0,2,18,0
Pain Management,0,0,0,0,0,0,0,0,0,0,3,7,0,2,0,0
Psychiatry / Psychology,0,0,0,1,0,1,1,0,0,0,0,0,6,2,0,0
Radiology,13,0,1,0,1,2,16,0,5,0,9,1,0,6,0,0
Surgery,30,13,28,2,9,7,1,21,26,8,28,4,0,1,23,16
Urology,0,0,2,3,0,1,1,0,0,0,0,0,0,1,7,16
