label,count,percentage
Psoriasis,50,4.34
Varicose Veins,50,4.34
Typhoid,50,4.34
Impetigo,50,4.34
Dengue,50,4.34
Fungal infection,50,4.34
Hypertension,50,4.34
urinary tract infection,50,4.34
allergy,50,4.34
drug reaction,50,4.34
peptic ulcer disease,50,4.34
diabetes,50,4.34
Chicken pox,49,4.25
Common Cold,49,4.25
Bronchial Asthma,49,4.25
Cervical spondylosis,49,4.25
gastroesophageal reflux disease,48,4.16
Pneumonia,47,4.08
Migraine,47,4.08
Arthritis,46,3.99
Acne,46,3.99
Malaria,44,3.82
Dimorphic Hemorrhoids,41,3.56
Jaundice,38,3.3
