,precision,recall,f1-score,support
Acne,1.0,1.0,1.0,9.0
Arthritis,1.0,1.0,1.0,9.0
Bronchial Asthma,1.0,1.0,1.0,10.0
Cervical spondylosis,1.0,1.0,1.0,10.0
Chicken pox,0.9,0.9,0.9,10.0
Common Cold,0.9090909090909091,1.0,0.9523809523809523,10.0
Dengue,0.875,0.7,0.7777777777777778,10.0
Dimorphic Hemorrhoids,1.0,1.0,1.0,8.0
Fungal infection,1.0,1.0,1.0,10.0
Hypertension,0.9090909090909091,1.0,0.9523809523809523,10.0
Impetigo,1.0,1.0,1.0,10.0
Jaundice,1.0,1.0,1.0,8.0
Malaria,1.0,1.0,1.0,9.0
Migraine,1.0,1.0,1.0,9.0
Pneumonia,1.0,1.0,1.0,9.0
Psoriasis,1.0,0.8,0.8888888888888888,10.0
Typhoid,0.8333333333333334,1.0,0.9090909090909091,10.0
Varicose Veins,1.0,1.0,1.0,10.0
allergy,1.0,0.9,0.9473684210526315,10.0
diabetes,1.0,0.9,0.9473684210526315,10.0
drug reaction,1.0,0.9,0.9473684210526315,10.0
gastroesophageal reflux disease,0.8333333333333334,1.0,0.9090909090909091,10.0
peptic ulcer disease,0.9,0.9,0.9,10.0
urinary tract infection,0.9090909090909091,1.0,0.9523809523809523,10.0
accuracy,0.9567099567099567,0.9567099567099567,0.9567099567099567,0.9567099567099567
macro avg,0.9612058080808081,0.9583333333333334,0.9576706918812182,231.0
weighted avg,0.9596943460579824,0.9567099567099567,0.9560214980584085,231.0
